,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.,Conflict Ratio
lf_alarm,0,[0],0.029661016949152543,0.002421307506053269,0.0018159806295399517,49,0,1.0,0.061224489795918366
lf_wake+up,1,[0],0.0012106537530266344,0.0006053268765133172,0.0,2,0,1.0,0.0
lf_ mute ,2,[1],0.0012106537530266344,0.0,0.0,2,0,1.0,0.0
lf_volume,3,[1],0.010290556900726392,0.0,0.0,17,0,1.0,0.0
lf_ loud,4,[1],0.0006053268765133172,0.0,0.0,1,0,1.0,0.0
lf_quiet,5,[1],0.0018159806295399517,0.0,0.0,3,0,1.0,0.0
lf_light,6,[2],0.03934624697336562,0.002421307506053269,0.002421307506053269,62,3,0.9538461538461538,0.06153846153846154
lf_wemo,7,[2],0.002421307506053269,0.0,0.0,4,0,1.0,0.0
lf_coffee,8,[2],0.007869249394673124,0.0,0.0,13,0,1.0,0.0
lf_calendar,9,[3],0.029055690072639227,0.003026634382566586,0.0012106537530266344,48,0,1.0,0.041666666666666664
lf_schedule,10,[3],0.012711864406779662,0.002421307506053269,0.0018159806295399517,18,3,0.8571428571428572,0.14285714285714285
lf_remind,11,[3],0.039951573849878935,0.006053268765133172,0.0036319612590799033,62,4,0.9393939393939394,0.09090909090909091
lf_play ,12,[4],0.07506053268765134,0.01513317191283293,0.005447941888619854,115,9,0.9274193548387097,0.07258064516129031
lf_podcast,13,[4],0.018159806295399514,0.010895883777239709,0.0012106537530266344,30,0,1.0,0.06666666666666668
lf_audiobook,14,[4],0.003026634382566586,0.0,0.0,5,0,1.0,0.0
lf_good morning,15,[],0.0,0.0,0.0,0,0,0.0,
lf_joke,16,[5],0.006053268765133172,0.0018159806295399517,0.0018159806295399517,9,1,0.9,0.30000000000000004
lf_explain,17,[5],0.0018159806295399517,0.0,0.0,3,0,1.0,0.0
lf_date+today,18,[6],0.005447941888619854,0.003026634382566586,0.0012106537530266344,9,0,1.0,0.22222222222222224
lf_time+is,19,[6],0.020581113801452784,0.012106537530266344,0.012106537530266344,23,11,0.6764705882352942,0.5882352941176471
lf_date+is,20,[6],0.007263922518159807,0.005447941888619854,0.0036319612590799033,7,5,0.5833333333333334,0.5
lf_takeaway,21,[7],0.002421307506053269,0.0012106537530266344,0.0006053268765133172,4,0,1.0,0.25
lf_delivery,22,[7],0.002421307506053269,0.0018159806295399517,0.0018159806295399517,3,1,0.75,0.75
lf_order,23,[7],0.012106537530266344,0.0018159806295399517,0.0012106537530266344,16,4,0.8,0.1
lf_news,24,[8],0.02784503631961259,0.009685230024213076,0.00847457627118644,42,4,0.9130434782608696,0.30434782608695654
lf_times,25,[8],0.007869249394673124,0.004842615012106538,0.0036319612590799033,4,9,0.3076923076923077,0.4615384615384615
lf_headline,26,[8],0.0036319612590799033,0.003026634382566586,0.0006053268765133172,6,0,1.0,0.16666666666666666
lf_what+song,27,[9],0.0036319612590799033,0.0018159806295399517,0.0018159806295399517,6,0,1.0,0.5
lf_save+song,28,[9],0.0006053268765133172,0.0,0.0,1,0,1.0,0.0
lf_shuffle,29,[9],0.0012106537530266344,0.0006053268765133172,0.0006053268765133172,1,1,0.5,0.5
lf_weather,30,[10],0.023002421307506054,0.009685230024213076,0.009685230024213076,33,5,0.868421052631579,0.4210526315789474
lf_temperature,31,[10],0.0036319612590799033,0.0012106537530266344,0.0012106537530266344,6,0,1.0,0.3333333333333333
lf_ rain,32,[10],0.006658595641646489,0.0006053268765133172,0.0006053268765133172,11,0,1.0,0.09090909090909091
lf_ snow,33,[10],0.0006053268765133172,0.0,0.0,1,0,1.0,0.0
lf_stock,34,[11],0.010290556900726392,0.00423728813559322,0.0018159806295399517,14,3,0.8235294117647058,0.17647058823529413
lf_what's,35,[11],0.024818401937046004,0.009079903147699757,0.009079903147699757,6,35,0.14634146341463417,0.36585365853658536
lf_define,36,[11],0.003026634382566586,0.0,0.0,5,0,1.0,0.0
lf_describe,37,[11],0.003026634382566586,0.0,0.0,5,0,1.0,0.0
lf_what is,38,[11],0.05871670702179177,0.031476997578692496,0.029055690072639227,27,70,0.27835051546391754,0.4948453608247423
lf_what+mean,39,[11],0.0012106537530266344,0.0006053268765133172,0.0006053268765133172,2,0,1.0,0.5
lf_message,40,[12],0.00423728813559322,0.0036319612590799033,0.0018159806295399517,4,3,0.5714285714285714,0.4285714285714286
lf_tweet,41,[12],0.01513317191283293,0.006053268765133172,0.0006053268765133172,25,0,1.0,0.04
lf_twitter,42,[12],0.004842615012106538,0.003026634382566586,0.0006053268765133172,8,0,1.0,0.125
lf_facebook,43,[12],0.004842615012106538,0.0018159806295399517,0.0012106537530266344,7,1,0.875,0.25
lf_complain,44,[12],0.007263922518159807,0.005447941888619854,0.0006053268765133172,12,0,1.0,0.08333333333333333
lf_status,45,[12],0.003026634382566586,0.0006053268765133172,0.0,4,1,0.8,0.0
lf_recommend,46,[],0.0,0.0,0.0,0,0,0.0,
lf_suggest,47,[],0.0,0.0,0.0,0,0,0.0,
lf_restaurant,48,[13],0.004842615012106538,0.002421307506053269,0.002421307506053269,3,5,0.375,0.5
lf_recipe,49,[14],0.005447941888619854,0.002421307506053269,0.002421307506053269,7,2,0.7777777777777778,0.4444444444444445
lf_timer,50,[],0.0,0.0,0.0,0,0,0.0,
lf_cook,51,[14],0.010290556900726392,0.003026634382566586,0.003026634382566586,15,2,0.8823529411764706,0.29411764705882354
lf_ticket,52,[15],0.013922518159806295,0.012106537530266344,0.0006053268765133172,21,2,0.9130434782608696,0.04347826086956522
lf_train,53,[15],0.022397094430992737,0.016343825665859565,0.004842615012106538,37,0,1.0,0.2162162162162162
lf_flight,54,[15],0.0006053268765133172,0.0006053268765133172,0.0006053268765133172,0,1,0.0,1.0
lf_accident,55,[],0.0,0.0,0.0,0,0,0.0,
lf_traffic,56,[15],0.004842615012106538,0.0018159806295399517,0.0018159806295399517,8,0,1.0,0.375
lf_email,57,[16],0.06416464891041163,0.00847457627118644,0.007263922518159807,103,3,0.9716981132075472,0.11320754716981132
lf_inbox,58,[16],0.002421307506053269,0.0018159806295399517,0.0006053268765133172,4,0,1.0,0.25
lf_message+inbox,59,[16],0.0006053268765133172,0.0006053268765133172,0.0006053268765133172,1,0,1.0,1.0
lf_message+email,60,[16],0.0012106537530266344,0.0012106537530266344,0.0012106537530266344,2,0,1.0,1.0
lf_ list,61,[17],0.050242130750605324,0.016343825665859565,0.010290556900726392,65,18,0.7831325301204819,0.20481927710843376
